sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis,Indoors,INCAL_WindSpeedNorth_daily,INCAL_RainfallRate_daily,INCAL_GlobalRadiation_daily,INCAL_RelativeHumidity_daily,INCAL_AirPressure_daily,INCAL_WindSpeedEast_daily,INCAL_DewPointTemperature_daily,INCAL_Temperature2m_daily,Yearly_TM,Yearly_RR,Yearly_SA,Monthly_TM,Monthly_RR,Monthly_SA,Daily_TX,Daily_TN,Daily_RR,Daily_SA,Wien_Bezirke,looseresidential,mediumresidential,denseresidential,largeisolatedresidential,office,commercial,businesscore,lowmixeduse,industrial,leisure,health,education,indoorsports,military,sewage,energy,water,construction,greenstreets,non.greenstreets,parking,railway,transport,park,outdoorsports,cemetery,fields,vineyards,nursery,forest,meadow,water,dem_mean,imp2018,treecover2018,protected_area,Wien_water_areas_grid,Wien_buildings_area_ha,Wien_build_volume_i_grid,vineyard
VCFC_001,VCF24A001,19/06/2024,170,48.29099,16.33058,9,8,35,13,39,0,5,0,0,1,0,0,0,0,-0.086878087,0.07839458,253.17481,70.80203,101347.7,0.773396015,14.1104446,19.914763,13.11834,870.5637,6911278,20.782257,87.675507,861546.5,25.056964,14.461056,2.078010289,28672.039,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.7998505,17.10363579,6.755345345,0,0,0,0.012345729,0
VCFC_002,VCF24A003,08/07/2024,189,48.24752,16.439,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0.180008212,0.04705433,245.75399,61.87661,101212.4,0.643111831,15.3276694,23.533399,13.7387,721.7471,7329652,24.434134,19.231766,935633.9,28.55688,18.480676,0.457902947,28367.396,22,0,0,50.82025909,1.307880998,0,0,0,2.117503405,0,0,0,0,0,0,0,0,0,0,0,27.75848961,0,0,0,16.02261734,0,0,0,0,0,0,0,0,160.5237579,13.23468494,0.75227946,0,0,0.263239712,4.706376553,0
VCFC_003,VCF24A022,17/06/2024,168,48.21183,16.39246,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.159982008,0.1606791,241.17758,66.04126,101310.4,1.107731837,13.1323617,20.089382,14.27861,738.0645,7297200,22.126831,79.087433,866864.2,24.767845,15.426531,4.519342249,23822.369,3,0,0,57.55569839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.551195145,24.63070679,0,5.304963589,0,2.417247295,0,0,0,0,0,0,0,1.128014803,161.5694885,17.18776131,0.251912266,0,0.880398095,0.422400951,9.929063797,0
VCFC_004,VCF24A012,21/06/2024,172,48.17681,16.36726,4,0,0,0,0,0,11,0,2,0,0,0,0,1,0.285078031,0.06580041,240.40328,65.21617,101304.6,1.297884975,13.6439542,20.724725,13.92402,752.4619,7287492,21.684555,80.272331,850664.8,26.247845,16.131333,1.628561828,27303.54,10,0,0,57.67125702,0,0,0,0,0,0,0,0,0.422838539,0,0,0,0,0,0,0,40.90590668,0,0,0,0,0,0,0,0,0,0,0,0,210.3799286,15.15764332,0,0,0,0.451463521,33.64676666,0
VCFC_005,VCF24A022,25/06/2024,176,48.21183,16.39246,2,0,0,0,0,0,13,0,0,0,0,0,0,1,-0.239225227,0.04269299,265.19077,61.47306,101454.3,0.22036206,13.6833835,21.774867,14.27861,738.0645,7297200,22.126831,79.087433,866864.2,26.93463,16.577627,1.072302826,32247.824,3,0,0,57.55569839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.551195145,24.63070679,0,5.304963589,0,2.417247295,0,0,0,0,0,0,0,1.128014803,161.5694885,17.18776131,0.251912266,0,0.880398095,0.422400951,9.929063797,0
VCFC_006,VCF24A054,23/06/2024,174,48.23861,16.38297,0,0,0,0,0,0,11,0,0,0,0,0,0,1,-0.570228407,0.06926053,254.6119,64.21385,101383.7,0.803476421,13.4991315,20.907514,13.93061,754.6767,7336334,21.781008,78.83802,889579.2,26.316166,16.177856,1.777567061,27342.131,20,0,0,31.7477951,0,0,0,0,0,0,0,0,0.379187047,0,0,0,0,0,0,1.247179866,32.95957947,0,8.151838303,0,23.65260315,0,0,0,0,0,0,0,0,163.0842896,32.26728439,4.192175388,0,0,0.219378784,5.663750172,0
VCFC_007,VCF24M004,26/06/2024,177,48.20246,16.39126,47,1,0,0,0,0,4,0,1,0,0,0,0,0,-0.075794279,0.03851862,269.37558,61.31009,101410.6,0.043510998,14.2496487,22.416345,14.30741,741.4128,7298988,22.148548,79.621902,859675.2,27.499972,16.844514,1.015817741,32711.105,3,0,0,5.873378754,6.157037735,0.551838219,16.44308853,16.68508148,0,0,9.579974174,0,0.03344474,0,0,0,0,0,0,0,42.65943527,0,0,0,0,0,0,0,0,0,0,0,0,170.060791,12.98762417,0.007023396,0,0,0.448882371,11.97078896,0
VCFC_008,VCF24M006,26/06/2024,177,48.1993,16.35266,0,0,0,0,0,0,6,0,0,0,0,0,0,0,-0.02900912,0.04216636,267.83431,60.74168,101416.3,0.139801386,14.2428129,22.568935,14.41113,780.8029,7298482,22.237961,83.301033,855718.8,27.573338,17.05072,1.112006611,32450.665,6,0,0,20.84218979,0,0,0,43.58586502,0,0,10.20534515,0,0,0,0,0,0,0,0,0,22.75517273,0,0,0,0,0,0,0,0,0,0,0,0,197.0822754,15.85985851,0.32321924,0,0,0.560253918,33.49460983,0
VCFC_009,VCF24A006,24/06/2024,175,48.23286,16.29051,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.490251283,0.05738206,271.07341,67.98702,101468,1.060456775,13.4342063,19.859529,12.62921,913.4418,7043172,20.12167,93.533936,843774.8,24.833763,14.176995,1.730518419,28317.03,17,0.624989688,4.624064445,49.04537582,0,0,0,0,13.06277943,0,3.786196709,0,0,0,0,0,0,0,0,0.304307193,23.4851017,0,0,0,0,0,0,0,0,0,1.145218968,0,0,253.1498108,8.848361969,4.792873383,1.23181963,0,0.27309677,29.96408081,0
VCFC_010,VCF24M005,26/06/2024,177,48.19845,16.36325,6,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.033337402,0.04479574,267.42503,60.02312,101416.4,0.114523618,14.2185336,22.736507,14.54847,770.808,7288557,22.388536,82.358551,856469.4,27.699098,17.240037,1.087458525,32495.631,6,0,0,25.17890549,0,0,30.70273209,0,0,0,0,0,0,0,0,0,0,0,0,0,31.91430283,3.795432091,0,0,5.691531181,0,0,0,0,0,0,0,0,170.7349548,10.89614868,0.106659167,0,0,0.364144236,9.940075874,0
